true,pred
19.88,10.52901
6.57,6.490271
8.0,7.189621
7.61,6.7351093
14.41,14.1692915
10.2,7.6340275
10.56,12.986088
16.96,17.827133
14.72,6.29436
7.86,7.9671116
10.68,7.6880693
12.78,12.346219
19.36,16.33194
6.61,6.940287
7.33,7.2743006
8.04,8.119003
5.65,5.5691257
8.02,7.673248
12.37,12.993036
13.79,13.433029
17.53,17.217558
8.69,8.4936
9.31,10.842103
14.14,12.547098
19.62,19.315907
14.93,16.080772
15.13,15.026241
17.82,14.698097
5.93,5.8707395
14.7,15.664691
6.17,5.7171283
13.42,11.893643
14.43,14.528876
7.91,8.017167
9.5,9.690683
9.87,9.626151
14.7,16.6652
13.34,11.51931
13.91,13.058475
15.93,15.307937
9.48,10.125738
12.24,12.26864
10.13,9.116286
5.56,5.486367
6.24,6.379588
5.64,5.7335415
6.65,6.616263
6.83,6.6408186
11.37,11.487038
10.61,10.257542
13.12,12.234037
13.8,12.194993
10.67,10.464811
13.12,17.631203
9.15,5.5196795
9.92,6.368685
6.03,6.3938665
7.5,7.469629
19.43,16.329664
7.33,6.2062516
3.7,3.609382
3.53,3.8265579
12.81,12.729264
13.19,13.1512
12.53,13.320655
5.2,4.768089
5.7,5.5983334
4.9,4.791648
2.63,2.562543
9.2,12.801878
9.5,12.332136
11.38,12.816959
5.1,5.2009783
4.8,5.302063
5.7,5.8894725
6.4,6.4088306
6.98,8.216746
5.2,5.635933
6.81,9.726504
7.21,7.126079
8.5,9.884007
12.31,9.505033
10.3,8.315937
9.6,9.146717
11.9,13.32747
14.61,11.858502
13.63,10.489442
11.56,10.9323225
7.69,13.253217
10.7,15.2548685
16.1,16.77961
10.93,8.291626
18.92,17.161419
9.03,11.574575
12.07,9.896737
13.94,13.698796
8.1,12.444975
13.45,12.474079
1.9,3.9755623
9.9,9.381253
10.47,12.56004
2.7,4.6142063
4.0,3.9698248
5.0,8.703083
7.2,8.944753
4.8,5.216069
4.8,4.9756145
6.2,6.049768
3.7,4.4917254
10.9,6.407902
6.5,6.2304735
5.8,6.237978
4.9,8.483889
4.2,6.3646746
7.41,5.987982
9.61,14.514227
17.55,16.548092
5.6,6.739753
19.0,14.929794
10.94,11.670651
9.8,11.1535425
14.19,13.083146
8.12,8.920939
13.77,10.499579
4.87,6.207339
6.41,10.756064
18.66,18.321072
9.98,9.870238
5.74,6.120343
14.68,15.707009
12.28,11.491068
19.18,19.560549
8.82,8.789171
19.03,19.376846
18.84,19.346613
16.04,16.654188
13.6,15.173398
7.97,6.7545958
12.55,9.4618
9.58,8.77511
11.05,11.414227
11.17,11.223491
5.62,5.643575
6.07,6.0236025
6.46,6.594912
5.76,7.3356643
10.82,11.929482
6.64,5.803058
6.87,7.409458
16.03,15.880372
14.9,15.279375
8.91,9.142588
11.21,11.180736
10.29,11.219941
11.39,12.919047
13.14,13.117898
12.4,11.159045
8.73,9.112882
12.88,12.543508
6.12,6.062672
6.61,6.378091
9.17,8.839811
12.93,12.370254
10.02,12.078286
14.17,14.08747
16.72,14.892884
10.54,10.098779
12.4,12.163577
12.93,13.575973
9.53,9.418237
11.06,11.315679
11.53,10.806598
4.44,6.4612837
5.96,6.6985397
8.91,6.9015293
9.99,8.603624
7.18,8.126206
6.11,7.1950397
6.28,7.092806
4.15,3.5307255
3.49,3.7633514
12.17,12.725274
2.7,3.083019
2.8,4.054509
4.88,3.880478
11.96,12.381971
4.7,4.5342646
5.0,5.1542554
1.11,1.8654015
1.93,1.8537794
2.29,2.2381105
6.7,3.3686528
3.1,3.1399004
8.2,8.420059
18.06,7.2853985
18.48,16.75361
6.58,7.268174
14.23,14.473184
5.56,11.467744
9.82,9.758165
11.77,11.833831
6.88,6.1770616
11.43,14.705749
10.65,7.9368267
14.79,14.578127
15.7,12.215378
16.4,16.48777
9.73,10.445244
11.55,9.803336
12.36,9.2496195
3.6,3.1093802
4.0,3.438951
10.83,10.722554
8.24,8.731666
3.5,3.7075853
6.3,5.2004538
3.8,4.816022
4.7,4.755172
7.8,5.872674
7.2,6.217578
6.5,5.757388
7.0,5.5891504
10.0,9.772428
7.4,7.252161
5.0,5.6254835
7.846,10.698024
4.74,6.2574315
4.0,4.142846
5.1,6.035416
10.7,5.69867
12.4,6.3584833
1.5,2.3529437
12.2,14.070584
14.08,13.171574
6.07,7.3594956
12.38,17.510523
14.65,18.182568
18.38,16.579355
19.97,8.131011
7.4,4.680233
8.6,7.8061385
4.57,7.8164682
4.53,7.311089
7.4,7.977853
17.03,12.681148
15.91,14.007088
11.96,9.633668
8.69,9.157032
5.8,6.305099
5.55,6.6874385
5.3,6.86844
7.23,6.0374856
7.38,7.5997977
7.46,7.293884
10.23,9.781051
10.88,10.7649555
8.57,8.6783495
7.01,6.6550803
8.48,9.535198
7.03,7.192991
7.46,8.106705
12.14,13.537318
6.23,7.447951
8.43,7.4088435
18.98,18.267277
13.05,13.02837
17.41,16.216076
13.24,13.101522
14.38,13.605282
18.87,16.505238
19.64,17.793402
14.39,13.589492
9.6,9.4767475
14.67,13.963192
16.65,11.766421
6.92,7.175711
13.6,13.216806
7.09,7.4320483
8.33,8.112987
4.41,5.1559787
4.48,5.778746
5.05,4.9649854
6.47,4.5433307
6.5,6.684155
7.53,7.4342003
14.38,14.252698
14.84,15.03393
11.54,10.976433
12.84,12.227453
12.0,12.164221
12.82,12.92543
17.25,15.7913
15.22,14.99291
8.12,7.918777
9.17,9.196401
6.29,7.1238227
6.93,7.4345775
5.4,5.2522483
13.07,13.442631
9.49,9.860082
12.47,11.601329
10.58,10.881828
13.54,7.302138
6.0,6.6206326
6.42,7.2735524
7.61,7.5968947
6.43,7.7636905
8.59,7.9935484
5.04,4.8235283
7.26,7.8622327
3.68,3.689016
2.23,3.0918462
2.5,2.7457387
9.44,12.159151
8.91,13.241623
5.4,5.2059083
5.9,5.652262
3.9,4.3488584
1.54,1.3210685
1.88,1.6390741
4.69,5.0438647
7.6,4.569876
7.0,5.0277395
5.33,7.31508
8.71,8.667634
9.4,7.2524896
6.73,5.1372733
6.48,8.662815
11.96,11.617964
9.85,8.810201
17.75,7.3905153
18.85,17.506653
16.1,17.067844
5.2,10.592426
8.88,10.417074
11.32,11.657251
6.43,10.866565
14.67,11.769684
8.58,8.238193
3.7,4.480005
4.4,4.7534595
7.09,7.8497415
4.65,7.0544744
5.82,8.746239
11.6,8.226894
5.4,5.5440326
5.0,5.506348
4.6,4.662422
4.4,4.14923
14.7,5.622026
5.0,6.2890906
12.29,16.58164
5.8,4.3732266
5.6,9.280207
12.15,7.066221
2.4,1.5625474
1.6,3.3560035
7.28,7.470642
12.21,10.56471
14.57,9.733784
18.18,13.791464
9.7,8.887208
3.5,6.8172107
7.38,6.2564855
5.4,5.0162587
1.1,6.4682384
7.82,13.043406
16.68,12.441681
14.03,14.140416
13.92,14.204876
9.37,8.667276
7.97,9.294117
16.17,16.066347
8.14,7.87162
8.9,8.679433
10.58,11.405475
7.09,7.571947
9.34,10.279072
11.09,9.189671
12.19,12.8076315
15.88,17.052448
12.21,11.791464
17.85,15.764487
19.98,15.591437
15.53,17.239922
18.32,18.942833
19.13,18.745752
14.41,16.270191
9.15,9.134935
12.05,9.163648
7.74,9.060078
10.06,9.913914
14.08,16.593288
6.98,6.775201
6.18,6.0899625
7.7,6.5760593
12.99,13.484643
13.63,14.776877
5.68,4.4372134
7.95,7.960004
4.4,7.2322707
7.92,8.385759
16.87,16.664993
13.84,12.9003
8.77,8.561924
10.09,11.252004
8.19,6.186325
6.05,6.573821
6.36,7.9995027
6.7,8.803805
5.85,4.973372
6.0,8.914269
5.95,5.340199
5.83,5.3380575
6.0,5.8523006
9.79,10.196621
12.37,12.367192
12.77,12.469108
9.95,9.747104
13.34,13.348598
13.77,13.43998
8.93,10.459703
10.01,10.22235
5.68,3.6636155
5.77,6.8644576
6.26,6.2602
9.59,7.882907
7.11,8.569687
4.66,4.959233
17.49,15.735994
8.83,7.4152284
7.05,6.5447955
3.64,4.19977
12.84,12.96568
4.68,3.501303
6.09,2.390609
17.33,12.942237
4.4,4.195079
2.17,1.9216905
2.86,2.5584111
2.9,2.9916875
3.9,4.209158
6.03,5.6593413
7.21,12.143733
6.86,10.5118265
8.98,12.946879
7.5,6.626989
8.71,9.708305
16.55,13.125246
14.83,15.36302
9.25,11.609411
8.58,9.868494
11.17,12.141558
11.4,15.350807
5.9,7.9250975
8.69,7.8857374
13.3,10.902594
9.23,9.426257
11.55,11.720203
4.3,3.8958688
4.1,6.958173
4.9,4.2238417
5.6,8.935114
7.1,7.568568
12.1,12.314884
5.3,5.4995375
4.349,5.4261675
8.51,10.963591
12.41,13.917655
11.22,10.184231
7.68,9.111707
7.85,5.9646025
8.8,13.088121
9.5,13.819786
12.4,15.124202
8.9,10.941849
7.34,8.944063
7.74,8.946993
5.7,7.7657785
10.1,6.0046606
7.5,6.3806286
6.4,7.534872
12.71,12.360126
4.78,6.1418743
17.13,9.530712
10.8,12.0604
9.15,6.676362
10.7,8.799547
8.5,9.138248
11.0,16.39104
13.0,18.463572
2.7,10.67056
5.41,5.721177
13.1,16.725428
9.07,5.625844
7.42,9.294521
9.13,10.100228
9.92,9.275523
7.77,7.8735056
6.88,6.7168984
8.75,8.987817
11.76,12.472776
13.95,12.630115
14.26,13.169057
14.54,13.539691
6.08,6.074202
6.35,6.0132318
10.0,8.541287
6.39,6.106424
18.54,17.261349
19.97,20.0
18.28,17.051594
18.05,19.48169
18.72,19.391697
18.9,19.23277
18.84,17.35242
15.56,14.418447
13.95,15.286065
15.05,15.717268
11.32,11.41597
13.22,12.034293
14.47,15.296685
13.46,14.562087
19.83,14.893859
15.65,15.314745
6.33,6.3555236
7.32,7.9634533
7.47,8.323876
16.62,15.237586
9.19,8.852729
8.51,9.475379
4.72,7.4881034
13.83,14.123028
10.2,10.077269
8.62,8.902332
12.36,10.9901705
8.94,8.621648
9.69,9.973546
11.7,11.305253
10.51,17.835089
7.64,7.395762
10.36,10.333478
10.12,9.490182
9.36,9.888248
5.38,5.3695397
5.54,5.69464
12.97,12.565287
11.5,12.054643
8.76,9.670621
6.89,6.631285
8.45,12.41335
17.04,11.802895
5.0,5.5315933
5.9,5.9197025
5.02,6.487891
7.14,7.6283827
6.35,6.1648855
6.95,9.455437
8.39,8.117624
8.98,8.555337
7.81,9.79
6.55,4.3946867
6.73,6.984815
5.65,7.024857
12.46,11.121203
4.5,3.431776
4.08,3.8664112
4.71,4.7811255
6.34,3.5022612
4.4,5.0835176
3.4,3.1300757
5.49,5.5791845
7.6,7.4764924
8.9,10.557914
4.92,4.6485405
8.08,9.587826
13.27,7.112663
5.0,5.6602306
12.92,11.967263
4.1,5.6092253
5.2,11.619787
9.5,9.43798
15.9,13.112032
9.8,9.866605
14.3,14.485924
13.6,13.774318
7.79,7.700061
16.71,12.007428
5.94,6.141737
10.97,10.588473
9.33,10.589317
7.79,10.596586
8.2,6.5167365
9.3,6.1825423
11.56,4.7726836
6.9,6.7509394
4.31,4.6828957
5.094,5.1349463
4.8,5.4767346
5.0,5.4342275
4.7,6.82029
7.3,5.5018287
8.24,7.5373845
8.66,4.396192
16.1,4.028781
13.65,3.5132778
7.25,7.7312956
8.7,9.7156105
5.5,4.7295165
5.9,4.8114147
19.0,19.368473
8.7,3.8637176
10.02,7.2228465
8.02,7.215329
13.58,14.171691
9.8,12.262389
10.4,9.854416
